id,cad_number,received_datetime,entry_datetime,dispatch_datetime,enroute_datetime,onscene_datetime,close_datetime,call_type_original,call_type_original_desc,call_type_original_notes,call_type_final,call_type_final_desc,call_type_final_notes,priority_original,priority_final,agency,disposition,onview_flag,sensitive_call,intersection_name,intersection_id,intersection_point,supervisor_district,analysis_neighborhood,police_district,call_last_updated_at,data_as_of,data_loaded_at,Analysis Neighborhoods
33221616,251152059,2025/04/25 03:23:45 PM,2025/04/25 03:23:45 PM,2025/04/25 03:23:45 PM,2025/04/25 03:23:45 PM,2025/04/25 03:23:45 PM,2025/04/25 03:31:20 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 03:31:22 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33223576,251152559,2025/04/25 05:37:18 PM,2025/04/25 05:39:12 PM,2025/04/25 05:39:54 PM,2025/04/25 05:39:54 PM,2025/04/25 06:01:02 PM,2025/04/25 06:04:24 PM,100A,AUDIBLE ALARM,,100A,AUDIBLE ALARM,,B,B,Police,NOM,N,true,,,,,,,2025/04/25 06:04:26 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33224963,251152848,2025/04/25 07:10:46 PM,2025/04/25 07:14:00 PM,2025/04/25 07:14:19 PM,2025/04/25 07:14:19 PM,2025/04/25 07:25:26 PM,2025/04/25 07:37:18 PM,594,VANDALISM,,594,VANDALISM,,A,A,Police,ND,N,false,46TH AVE \ JUDAH ST,27947000,POINT (-122.505928111 37.760424427),4,Sunset/Parkside,TARAVAL,2025/04/25 07:37:20 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,35
33224997,251152887,2025/04/25 07:28:13 PM,2025/04/25 07:28:13 PM,2025/04/25 07:28:13 PM,2025/04/25 07:28:13 PM,2025/04/25 07:28:13 PM,2025/04/25 07:39:06 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,CIT,Y,true,,,,,,,2025/04/25 07:39:08 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33225655,251153034,2025/04/25 08:12:49 PM,2025/04/25 08:12:49 PM,2025/04/25 08:12:49 PM,2025/04/25 08:12:49 PM,2025/04/25 08:12:49 PM,2025/04/25 08:18:31 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 08:18:33 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33225804,251152960,2025/04/25 07:47:51 PM,2025/04/25 07:48:57 PM,2025/04/25 07:49:10 PM,2025/04/25 07:49:10 PM,2025/04/25 07:58:00 PM,2025/04/25 08:29:32 PM,910,WELL BEING CHECK,,910,WELL BEING CHECK,,A,A,Police,REP,N,false,ACADIA ST \ MONTEREY BLVD,21815000,POINT (-122.437457536 37.731589795),7,West of Twin Peaks,INGLESIDE,2025/04/25 08:29:33 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,41
33226069,251153112,2025/04/25 08:46:15 PM,2025/04/25 08:46:15 PM,2025/04/25 08:46:15 PM,2025/04/25 08:46:15 PM,2025/04/25 08:46:15 PM,2025/04/25 08:48:27 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 08:48:29 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33226582,251153219,2025/04/25 09:26:06 PM,2025/04/25 09:26:06 PM,2025/04/25 09:26:06 PM,2025/04/25 09:26:06 PM,2025/04/25 09:26:06 PM,2025/04/25 09:32:57 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,CIT,Y,true,,,,,,,2025/04/25 09:32:59 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33226786,251153238,2025/04/25 09:31:45 PM,2025/04/25 09:31:45 PM,2025/04/25 09:31:45 PM,2025/04/25 09:31:45 PM,2025/04/25 09:31:45 PM,2025/04/25 09:50:36 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 09:50:38 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33227049,251153316,2025/04/25 10:02:07 PM,2025/04/25 10:02:07 PM,2025/04/25 10:02:07 PM,2025/04/25 10:02:07 PM,2025/04/25 10:02:07 PM,2025/04/25 10:17:02 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,ADV,Y,true,,,,,,,2025/04/25 10:17:05 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33227283,251153395,2025/04/25 10:32:51 PM,2025/04/25 10:32:51 PM,2025/04/25 10:32:51 PM,2025/04/25 10:32:51 PM,2025/04/25 10:32:51 PM,2025/04/25 10:37:10 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 10:37:13 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33229166,251160248,2025/04/26 02:21:47 AM,2025/04/26 02:22:49 AM,2025/04/26 02:23:29 AM,2025/04/26 02:23:29 AM,,,852,AUTO BOOST / STRIP,IP,852,AUTO BOOST / STRIP,IP,A,A,Police,,N,false,BURROWS ST \ GIRARD ST,20652000,POINT (-122.405091018 37.728574321),9,Portola,BAYVIEW,2025/04/26 02:23:30 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,25
33229680,251160315,2025/04/26 03:10:49 AM,2025/04/26 03:10:49 AM,2025/04/26 03:10:49 AM,2025/04/26 03:10:49 AM,2025/04/26 03:10:49 AM,2025/04/26 03:35:00 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 03:35:01 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33230281,251160472,2025/04/26 05:32:36 AM,2025/04/26 05:34:58 AM,2025/04/26 05:36:20 AM,2025/04/26 05:36:20 AM,2025/04/26 05:36:20 AM,2025/04/26 05:38:27 AM,100S,SILENT ALARM,,100S,SILENT ALARM,,B,B,Police,NCR,N,true,,,,,,,2025/04/26 05:38:28 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33231072,251160513,2025/04/26 06:26:43 AM,2025/04/26 06:26:43 AM,2025/04/26 06:26:43 AM,2025/04/26 06:26:43 AM,2025/04/26 06:26:43 AM,2025/04/26 07:55:45 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/26 07:55:47 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33231703,251160827,2025/04/26 08:54:33 AM,2025/04/26 08:54:33 AM,2025/04/26 08:54:33 AM,2025/04/26 08:54:33 AM,2025/04/26 08:54:33 AM,2025/04/26 08:56:27 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 08:56:29 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33233424,251161147,2025/04/26 10:32:34 AM,2025/04/26 10:32:34 AM,2025/04/26 10:32:34 AM,2025/04/26 10:32:34 AM,2025/04/26 10:32:34 AM,2025/04/26 11:15:16 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/26 11:15:17 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33235341,251161621,2025/04/26 12:57:22 PM,2025/04/26 12:57:22 PM,2025/04/26 12:57:22 PM,2025/04/26 12:57:22 PM,2025/04/26 12:57:22 PM,2025/04/26 01:29:56 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 01:29:58 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33237400,251162096,2025/04/26 03:38:54 PM,2025/04/26 03:38:54 PM,2025/04/26 03:38:54 PM,2025/04/26 03:38:54 PM,2025/04/26 03:38:54 PM,2025/04/26 04:26:59 PM,418,FIGHT NO WEAPON,,418,FIGHT NO WEAPON,,B,B,Police,HAN,Y,false,03RD ST \ BERRY ST,23796000,POINT (-122.391121419 37.777553277),6,Mission Bay,SOUTHERN,2025/04/26 04:27:01 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,4
33237609,251162267,2025/04/26 04:38:24 PM,2025/04/26 04:38:24 PM,2025/04/26 04:38:24 PM,2025/04/26 04:38:24 PM,2025/04/26 04:38:24 PM,2025/04/26 04:47:21 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 04:47:22 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33238577,251162525,2025/04/26 06:14:15 PM,2025/04/26 06:14:15 PM,2025/04/26 06:14:15 PM,2025/04/26 06:14:15 PM,2025/04/26 06:14:15 PM,2025/04/26 06:14:19 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,ND,Y,true,,,,,,,2025/04/26 06:14:21 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33217022,251150679,2025/04/25 08:20:31 AM,2025/04/25 08:20:31 AM,2025/04/25 08:20:31 AM,2025/04/25 08:20:31 AM,2025/04/25 08:20:31 AM,2025/04/25 09:36:28 AM,905,MEET W/CITY EMPLOYEE,,905,MEET W/CITY EMPLOYEE,,B,B,Police,ARR,HSOC,false,BERRY ST \ DE HARO ST,23860000,POINT (-122.401992727 37.769029471),6,Mission Bay,SOUTHERN,2025/04/25 09:36:29 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,4
33219089,251151380,2025/04/25 11:59:03 AM,2025/04/25 11:59:03 AM,2025/04/25 12:17:03 PM,2025/04/25 12:17:03 PM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,22500E,C,C,Municipal Transportation Agency,,N,false,06TH AVE \ LOCKSLEY AVE,27076000,POINT (-122.4627919 37.759735784),7,Inner Sunset,PARK,2025/04/25 12:17:04 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,14
33238420,251162490,2025/04/26 05:56:06 PM,2025/04/26 05:56:06 PM,2025/04/26 05:56:06 PM,2025/04/26 05:56:06 PM,2025/04/26 05:56:06 PM,2025/04/26 05:56:17 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/26 05:56:19 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33212053,251142981,2025/04/24 08:25:53 PM,2025/04/24 08:25:53 PM,2025/04/24 09:41:42 PM,2025/04/24 09:41:42 PM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,500F,C,C,Municipal Transportation Agency,,N,false,AVALON AVE \ EDINBURGH ST,21678000,POINT (-122.428482292 37.725900814),11,Excelsior,INGLESIDE,2025/04/24 09:41:43 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,7
33229986,251160415,2025/04/26 04:35:31 AM,2025/04/26 04:37:29 AM,2025/04/26 04:37:48 AM,2025/04/26 04:37:48 AM,,,594,VANDALISM,,594,VANDALISM,,A,A,Police,,N,false,07TH ST \ 16TH ST \ MISSISSIPPI ST,23785000,POINT (-122.395060545 37.766544577),10,Mission Bay,BAYVIEW,2025/04/26 04:37:50 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,4
33236945,251162100,2025/04/26 03:40:40 PM,2025/04/26 03:40:40 PM,2025/04/26 03:40:40 PM,2025/04/26 03:40:40 PM,2025/04/26 03:40:40 PM,2025/04/26 03:53:08 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 03:53:10 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33222841,251152397,2025/04/25 05:00:49 PM,2025/04/25 05:00:49 PM,2025/04/25 05:00:49 PM,2025/04/25 05:00:49 PM,2025/04/25 05:00:49 PM,2025/04/25 05:08:02 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,CIT,Y,true,,,,,,,2025/04/25 05:08:04 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33220232,251151661,2025/04/25 01:24:15 PM,2025/04/25 01:24:15 PM,2025/04/25 01:24:15 PM,2025/04/25 01:24:15 PM,2025/04/25 01:24:15 PM,2025/04/25 01:33:57 PM,407,PRISONER TRANSPORT,,407,PRISONER TRANSPORT,,B,B,Sheriff,HAN,Y,false,HARRISON ST \ SHERMAN ST,23928000,POINT (-122.405476063 37.776161979),6,South of Market,SOUTHERN,2025/04/25 01:33:59 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,34
33235216,251161491,2025/04/26 12:16:12 PM,2025/04/26 12:16:12 PM,2025/04/26 12:49:20 PM,2025/04/26 12:49:20 PM,2025/04/26 01:11:25 PM,2025/04/26 01:17:48 PM,588,TRAF VIOLATION TOW,,588,TRAF VIOLATION TOW,,C,C,Municipal Transportation Agency,CIT,N,false,GROVE ST \ MASONIC AVE,26377000,POINT (-122.446283674 37.774871103),5,Lone Mountain/USF,PARK,2025/04/26 01:17:50 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,18
33233600,251161057,2025/04/26 10:06:20 AM,2025/04/26 10:06:20 AM,2025/04/26 11:27:01 AM,2025/04/26 11:27:01 AM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,22500E,C,C,Municipal Transportation Agency,,N,false,24TH ST \ CAPP ST,24070000,POINT (-122.417357817 37.752305979),9,Mission,MISSION,2025/04/26 11:27:02 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,20
33225157,251152765,2025/04/25 06:46:40 PM,2025/04/25 06:46:40 PM,2025/04/25 07:37:46 PM,2025/04/25 07:37:46 PM,2025/04/25 07:45:37 PM,2025/04/25 07:47:28 PM,588,TRAF VIOLATION TOW,,588,TRAF VIOLATION TOW,22500E,C,C,Municipal Transportation Agency,CIT,N,false,19TH ST \ LAPIDGE ST,24162000,POINT (-122.422258248 37.760050959),9,Mission,MISSION,2025/04/25 07:47:29 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,20
33224474,251151265,2025/04/25 11:25:18 AM,2025/04/25 11:25:18 AM,2025/04/25 07:05:53 PM,2025/04/25 07:05:53 PM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,22500F,C,C,Municipal Transportation Agency,,N,false,CLEMENTINA ST \ ECKER ST,24525000,POINT (-122.395792641 37.787099543),6,Financial District/South Beach,SOUTHERN,2025/04/25 07:05:54 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,8
33232138,251160551,2025/04/26 06:45:16 AM,2025/04/26 06:45:16 AM,2025/04/26 09:31:28 AM,2025/04/26 09:31:28 AM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,22500i,C,C,Municipal Transportation Agency,,N,false,CANDLESTICK COVE WAY \ PELICAN COVE TER,54208000,POINT (-122.39396176 37.711958411),10,Bayview Hunters Point,BAYVIEW,2025/04/26 09:31:28 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,1
33218482,251151121,2025/04/25 10:42:58 AM,2025/04/25 10:42:58 AM,2025/04/25 10:42:58 AM,2025/04/25 10:42:58 AM,2025/04/25 10:42:58 AM,2025/04/25 11:33:26 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 11:33:28 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33227414,251153018,2025/04/25 08:04:01 PM,2025/04/25 08:07:23 PM,2025/04/25 10:50:06 PM,2025/04/25 10:50:06 PM,2025/04/25 10:50:06 PM,2025/04/25 10:50:15 PM,488,PETTY THEFT,909,488,PETTY THEFT,909,C,C,Police,HAN,N,false,VALLEJO ST \ WEBSTER ST,26662000,POINT (-122.433469063 37.795435179),2,Marina,NORTHERN,2025/04/25 10:50:18 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,13
33223027,251151956,2025/04/25 02:46:22 PM,2025/04/25 02:46:58 PM,2025/04/25 02:47:49 PM,2025/04/25 02:47:49 PM,2025/04/25 02:50:20 PM,2025/04/25 05:20:40 PM,594,VANDALISM,,594,VANDALISM,,A,A,Police,ARR,N,false,TAYLOR ST \ TURK ST,24924000,POINT (-122.410764828 37.783214313),5,Tenderloin,TENDERLOIN,2025/04/25 05:20:42 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,36
33226235,251152323,2025/04/25 04:38:11 PM,2025/04/25 04:39:35 PM,2025/04/25 09:00:48 PM,2025/04/25 09:00:48 PM,,,418,FIGHT NO WEAPON,601,418,FIGHT NO WEAPON,601,B,B,Police,,N,false,JONES ST \ TURK ST,24923000,POINT (-122.412411746 37.783004079),5,Tenderloin,TENDERLOIN,2025/04/25 09:00:50 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,36
33228982,251160138,2025/04/26 01:25:38 AM,2025/04/26 01:25:38 AM,2025/04/26 01:25:38 AM,2025/04/26 01:25:38 AM,2025/04/26 01:25:38 AM,2025/04/26 02:01:25 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/26 02:01:28 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33223761,251152640,2025/04/25 06:03:10 PM,2025/04/25 06:03:10 PM,2025/04/25 06:03:10 PM,2025/04/25 06:03:10 PM,2025/04/25 06:03:10 PM,2025/04/25 06:15:00 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,CIT,Y,true,,,,,,,2025/04/25 06:15:02 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33216865,251150778,2025/04/25 08:49:05 AM,2025/04/25 08:52:01 AM,2025/04/25 08:52:34 AM,2025/04/25 08:52:34 AM,2025/04/25 09:02:35 AM,2025/04/25 09:21:20 AM,240DV,ASSAULT / BATTERY DV,,240DV,ASSAULT / BATTERY DV,,A,A,Police,ND,N,true,,,,,,,2025/04/25 09:21:21 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33233476,251161079,2025/04/26 10:12:37 AM,2025/04/26 10:12:37 AM,2025/04/26 10:48:49 AM,2025/04/26 10:48:49 AM,2025/04/26 11:01:59 AM,2025/04/26 11:20:30 AM,588,TRAF VIOLATION TOW,,588,TRAF VIOLATION TOW,22500E,C,C,Municipal Transportation Agency,CIT,N,false,22ND ST \ SOUTH VAN NESS AVE,24081000,POINT (-122.416566641 37.755568278),9,Mission,MISSION,2025/04/26 11:20:32 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,20
33220150,251151451,2025/04/25 12:20:40 PM,2025/04/25 12:22:08 PM,2025/04/25 12:23:04 PM,2025/04/25 12:23:04 PM,2025/04/25 12:24:21 PM,2025/04/25 01:29:27 PM,905,MEET W/CITY EMPLOYEE,,905,MEET W/CITY EMPLOYEE,,A,A,Police,UTL,N,false,18TH ST \ MISSION ST,24149000,POINT (-122.419359267 37.761835855),9,Mission,MISSION,2025/04/25 01:29:28 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,20
33224211,251151666,2025/04/25 01:25:10 PM,2025/04/25 01:25:10 PM,2025/04/25 06:47:19 PM,2025/04/25 06:47:19 PM,,,587,TRAF VIOLATION CITE,,587,TRAF VIOLATION CITE,22500E,C,C,Municipal Transportation Agency,,N,false,SAN PABLO AVE \ SANTA MONICA WAY,22831000,POINT (-122.462474223 37.738708244),7,West of Twin Peaks,TARAVAL,2025/04/25 06:47:20 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,41
33214500,251150217,2025/04/25 02:37:09 AM,2025/04/25 02:45:12 AM,2025/04/25 02:46:49 AM,2025/04/25 02:46:49 AM,2025/04/25 02:55:01 AM,2025/04/25 03:01:04 AM,801,SUICIDE ATTEMPT,,801,SUICIDE ATTEMPT,,A,A,Police,UTL,N,true,,,,,,,2025/04/25 03:01:06 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33234501,251161131,2025/04/26 10:26:41 AM,2025/04/26 10:26:49 AM,2025/04/26 12:25:10 PM,2025/04/26 12:25:10 PM,,,587,TRAF VIOLATION CITE,500F,587,TRAF VIOLATION CITE,500F,C,C,Municipal Transportation Agency,,N,false,11TH ST \ MINNA ST,24363000,POINT (-122.416575669 37.773906252),6,South of Market,SOUTHERN,2025/04/26 12:25:15 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,34
33223359,251152521,2025/04/25 05:28:51 PM,2025/04/25 05:28:51 PM,2025/04/25 05:29:48 PM,2025/04/25 05:29:48 PM,2025/04/25 05:31:29 PM,2025/04/25 05:46:01 PM,25C2B,ALOC NO/UNK HX V&W,,800,MENTALLY DISTURBED,BOTTLE,A,A,Police,ND,N,false,CONGDON ST \ TRUMBULL ST,21669000,POINT (-122.426143656 37.730881414),11,Excelsior,INGLESIDE,2025/04/25 05:46:02 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,7
33212674,251143059,2025/04/24 08:53:55 PM,2025/04/24 08:56:00 PM,2025/04/24 09:41:31 PM,2025/04/24 09:41:31 PM,2025/04/24 10:50:38 PM,2025/04/24 10:50:41 PM,415,NOISE NUISANCE,,415,NOISE NUISANCE,,C,C,Police,ADV,N,false,EDDY ST \ LEAVENWORTH ST,24935000,POINT (-122.414241573 37.783723783),5,Tenderloin,TENDERLOIN,2025/04/24 10:50:43 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,36
33235802,251133259,2025/04/23 10:23:20 PM,2025/04/23 10:25:37 PM,2025/04/23 10:26:48 PM,2025/04/23 10:26:48 PM,2025/04/23 10:51:32 PM,2025/04/23 11:14:29 PM,240,ASSAULT / BATTERY,,222,PERSON W/KNIFE,,A,A,Police,REP,N,false,EVANS AVE \ SELBY ST,33107000,POINT (-122.39404894 37.74616295),10,Bayview Hunters Point,BAYVIEW,2025/04/26 02:06:53 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,1
33227129,251153362,2025/04/25 10:18:35 PM,2025/04/25 10:18:35 PM,2025/04/25 10:18:35 PM,2025/04/25 10:18:35 PM,2025/04/25 10:18:35 PM,2025/04/25 10:21:31 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 10:21:33 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33221357,251151893,2025/04/25 02:24:51 PM,2025/04/25 02:26:33 PM,2025/04/25 02:27:14 PM,2025/04/25 02:27:14 PM,2025/04/25 02:30:09 PM,2025/04/25 02:39:52 PM,100P,PANIC ALARM,,100P,PANIC ALARM,,A,A,Police,NCR,N,true,,,,,,,2025/04/25 03:03:12 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33230783,251160454,2025/04/26 05:10:41 AM,2025/04/26 05:15:21 AM,2025/04/26 07:00:43 AM,2025/04/26 07:00:43 AM,2025/04/26 07:19:09 AM,2025/04/26 07:20:36 AM,917,SUSPICIOUS PERSON,,917,SUSPICIOUS PERSON,,C,C,Police,ADV,N,false,GREENWICH ST \ LARKIN ST,25557000,POINT (-122.421063299 37.80083381),3,Russian Hill,NORTHERN,2025/04/26 07:20:38 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,32
